,ID,name,category,main_category,currency,deadline,launched,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,timeline,duration
104709,1532172819,Angel Falls by MondragÃ³n Watch Co. A Dive Tactical Watch,Accessories,Fashion,USD,2017-11-03 00:00:00,2017-09-06 18:04:00,successful,228,US,6805.0,49966.0,35000.0,57,57
104761,1532543855,Global Cuba - the documentary,Documentary,Film & Video,USD,2013-04-14 00:00:00,2013-02-15 22:22:00,successful,108,US,15339.0,15339.0,15000.0,57,57
105017,1533740835,WASD â€” Itâ€™s video game culture,Periodicals,Publishing,EUR,2017-10-01 00:00:00,2017-08-03 17:54:00,failed,453,DE,1483.48,20911.05,35120.99,58,58
105018,1533746156,The KJ52 Documentary,Documentary,Film & Video,USD,2017-10-05 00:00:00,2017-08-14 16:04:00,successful,175,US,1515.0,12485.0,10000.0,51,51
105086,1534114753,The Linkmount System  Smartphone Enhancement,Product Design,Design,USD,2014-09-29 00:00:00,2014-07-31 15:00:00,successful,5022,US,206823.13,206823.13,35000.0,59,59
105351,1535455103,The Chronicles of FARO -- Volume 2 Begins,Comic Books,Comics,USD,2017-03-27 00:00:00,2017-01-26 22:41:00,successful,231,US,5708.0,13293.0,10000.0,59,59
105355,1535499985,Bruvelo. Simplify and elevate your coffee.,Product Design,Design,USD,2015-10-30 00:00:00,2015-09-01 15:37:00,failed,1832,US,528921.0,528921.0,975000.0,58,58
105390,1535671049,Simple Portion Bowls - just measure what matters,Product Design,Design,USD,2013-03-07 00:00:00,2013-01-06 14:33:00,failed,177,US,15582.0,15582.0,70000.0,59,59
105451,153599693,PETER PLAN: A Short Film with a Big Idea,Shorts,Film & Video,USD,2011-08-01 00:00:00,2011-06-01 07:57:00,successful,103,US,10338.0,10338.0,10000.0,60,60
105547,1536473176,Stripped & Chewed Vol 1: Livin' for the City,Electronic Music,Music,USD,2011-12-11 00:00:00,2011-10-12 07:13:00,successful,107,US,4966.08,4966.08,4000.0,59,59
105597,1536744939,Out of the Violent Planet,Games,Games,USD,2011-02-12 00:00:00,2010-12-14 18:33:00,successful,113,US,1700.5,1700.5,1650.0,59,59
105637,1536970913,URBAN SLIM WALLET - Minimalist Slim Leather Wallet,Product Design,Design,USD,2015-07-01 00:00:00,2015-05-06 04:43:00,successful,856,US,23223.0,23223.0,2800.0,55,55
105693,1537247605,Beer Yorkshire,Art Books,Publishing,GBP,2017-11-11 00:00:00,2017-09-12 20:59:00,failed,170,GB,1433.67,10609.39,21113.19,59,59
105711,153733045,Hit and Stay,Documentary,Film & Video,USD,2010-09-11 00:00:00,2010-07-10 20:32:00,successful,243,US,20870.0,20870.0,20000.0,62,62
105809,1537911460,The Trembling Music of Water: Songs of Bike Touring Musician,Indie Rock,Music,USD,2011-07-27 00:00:00,2011-04-28 05:24:00,successful,147,US,5395.01,5395.01,5076.0,89,89
105924,1538374466,The Camden Watch Company Automatic Collection,Product Design,Design,GBP,2017-12-09 00:00:00,2017-10-10 10:41:00,successful,152,GB,7713.43,65603.39,24079.3,59,59
106151,1539478524,Mercantia - Italy 1252 - an iOS and Android Game.,Mobile Games,Games,USD,2015-12-31 00:00:00,2015-11-01 23:04:00,successful,116,US,12759.0,12759.0,12500.0,59,59
106197,1539707440,The Airport Jacket | Wearable Luggage For The Frequent Flyer,Design,Design,AUD,2017-03-25 00:00:00,2017-01-24 23:18:00,failed,121,AU,1001.13,22757.3,76464.29,59,59
106424,1540832241,PERPLEXED MUSIC by Mark McGann,Drama,Film & Video,GBP,2017-06-17 00:00:00,2017-04-18 09:28:00,successful,202,GB,5756.93,34604.96,30284.91,59,59
106586,1541686804,Handcrafted MacBook Sleeves & MacPads,Design,Design,USD,2017-04-28 00:00:00,2017-03-07 19:16:00,successful,138,US,655.0,13580.0,5000.0,51,51
106623,1541858732,A Documentary Film about Playback Theatre,Documentary,Film & Video,CAD,2016-09-30 00:00:00,2016-08-01 07:11:00,failed,101,CA,744.36,17181.28,58706.88,59,59
106798,1542749086,Whiskey Lab,Product Design,Design,USD,2016-09-25 00:00:00,2016-07-27 18:05:00,successful,188,US,9406.0,23596.0,12500.0,59,59
106950,1543601416,FOLK a feature-length documentary,Documentary,Film & Video,USD,2012-01-03 00:00:00,2011-11-04 15:49:00,successful,526,US,41320.0,41320.0,33000.0,59,59
107021,1543971382,Sleeping Bag Hammock | Bison Bag G2 By Clayborne Outdoor,Product Design,Design,USD,2015-09-11 00:00:00,2015-07-16 15:39:00,successful,249,US,25657.0,25657.0,22000.0,56,56
107075,1544272839,Black Horse Motel's first album,Indie Rock,Music,USD,2012-05-10 00:00:00,2012-03-11 21:13:00,successful,177,US,10537.44,10537.44,10000.0,59,59
107354,1545769500,TYPE RIDER: Cycling the Great American Poem,Poetry,Publishing,USD,2012-04-24 00:00:00,2012-02-29 21:40:00,successful,208,US,16427.99,16427.99,15000.0,54,54
107409,1546056184,Dirty Rhetoric,Playing Cards,Games,USD,2016-01-18 00:00:00,2015-11-19 21:21:00,successful,191,US,6287.0,6287.0,3000.0,59,59
107469,1546411627,Save the Fairlee Drive-In!,Theater,Theater,USD,2014-06-01 00:00:00,2014-04-02 01:51:00,successful,606,US,38075.0,38075.0,27595.0,59,59
107575,1546950204,IMPOSSIBLE THINGS-World's First A.I. Co-written Feature Film,Horror,Film & Video,CAD,2016-09-24 00:00:00,2016-07-26 15:17:00,successful,161,CA,308.38,22915.97,22792.89,59,59
107653,1547367337,THE RATIONALES present: The Distance in Between,Indie Rock,Music,USD,2010-12-09 00:00:00,2010-10-07 21:34:00,successful,147,US,5235.0,5235.0,5000.0,62,62
107737,1547803528,The Bestiary of the Curiously Odd,Games,Games,USD,2012-08-07 00:00:00,2012-06-08 01:00:00,successful,103,US,8776.0,8776.0,999.0,59,59
107751,1547881377,Radio Boise's 89.9 FM Studio Project!,Radio & Podcasts,Publishing,USD,2011-04-20 00:00:00,2011-02-26 02:50:00,successful,169,US,9066.0,9066.0,8500.0,52,52
107770,1547996910,Blurble - The Hilarious Word Association Card Game,Tabletop Games,Games,USD,2012-05-06 00:00:00,2012-03-07 00:42:00,successful,529,US,18979.36,18979.36,15000.0,59,59
107787,1548077989,Touchy/Feely,Music,Music,USD,2011-09-03 00:00:00,2011-06-05 12:56:00,successful,208,US,15070.0,15070.0,15000.0,89,89
107928,1548708740,THE ULTIMATE CUTTING BOARD,Product Design,Design,CAD,2016-02-03 00:00:00,2015-12-05 09:17:00,successful,862,CA,126650.14,122970.37,36360.99,59,59
107974,154891368,Radical Renewable Art + Activism Fund,Art,Art,GBP,2015-12-05 00:00:00,2015-10-06 15:01:00,successful,157,GB,3811.69,3797.01,2273.66,59,59
108299,1550536321,The McCloud River,Art Books,Publishing,USD,2012-07-20 00:00:00,2012-05-21 19:12:00,successful,146,US,28525.0,28525.0,25000.0,59,59
108340,1550807427,The Most Comfortable Dress Shirt Youâ€™ve Ever Worn,Apparel,Fashion,USD,2017-12-09 00:00:00,2017-10-10 22:09:00,successful,345,US,18766.0,60088.0,12500.0,59,59
108486,1551517775,Billy Mize & The Bakersfield Sound,Documentary,Film & Video,USD,2012-08-01 00:00:00,2012-06-02 01:00:00,successful,116,US,17429.0,17429.0,15300.0,59,59
108558,155186008,The Porchlight Sessions,Documentary,Film & Video,USD,2012-05-01 00:00:00,2012-03-02 08:56:00,successful,654,US,70390.99,70390.99,60000.0,59,59
108831,1553177369,The Endings - A Photography Book of Breakup Short Stories,Photography,Photography,USD,2011-07-20 00:00:00,2011-05-16 05:47:00,successful,207,US,15310.0,15310.0,15000.0,64,64
109044,1554174583,Johnny Gandelsman records JS Bach,Classical Music,Music,USD,2016-02-26 00:00:00,2015-12-28 16:05:00,successful,296,US,33541.0,33541.0,30000.0,59,59
109046,1554182281,Unbroken Glass: a film about immigration and mental illness,Documentary,Film & Video,USD,2012-01-14 00:00:00,2011-11-15 19:58:00,successful,150,US,7227.83,7227.83,5000.0,59,59
109055,1554237161,MYTHIC HERO,Games,Games,USD,2012-04-02 00:00:00,2012-02-06 16:39:00,failed,284,US,25784.0,25784.0,33000.0,55,55
109187,1554895002,Ultimate Disassembly,Video Games,Games,USD,2013-04-26 00:00:00,2013-02-25 17:35:00,failed,104,US,4246.0,4246.0,30000.0,59,59
109215,1555042643,Guerrilla New Music: Support The New Music Revolution,Music,Music,USD,2011-06-02 00:00:00,2011-03-04 22:40:00,successful,192,US,12373.0,12373.0,12000.0,89,89
109408,1555919295,Boardcrafting,Tabletop Games,Games,USD,2011-11-15 00:00:00,2011-09-16 09:03:00,successful,307,US,44721.0,44721.0,8000.0,59,59
109463,1556126068,The Ship: Full Steam Ahead,Video Games,Games,GBP,2012-12-30 00:00:00,2012-10-31 14:01:00,failed,607,GB,29495.01,29230.14,205039.49,59,59
109499,1556298656,Put the Pork In The Road food truck on the streets!,Food,Food,USD,2013-06-22 00:00:00,2013-04-23 21:38:00,failed,138,US,13681.0,13681.0,35000.0,59,59
109567,155663457,The Fall Of Eve - The Awakening,Metal,Music,GBP,2017-12-06 00:00:00,2017-10-07 23:19:00,successful,112,GB,146.17,3873.97,3488.06,59,59
109580,1556728043,GAZE DESK : The Smartest Standing Desk Ever,Gadgets,Technology,USD,2016-09-29 00:00:00,2016-08-03 03:55:00,successful,215,US,17881.0,156312.0,100000.0,56,56
109614,1556947641,Do Re MiNK - Mink Stole's First CD,Music,Music,USD,2011-07-31 00:00:00,2011-06-08 18:16:00,successful,318,US,13658.0,13658.0,12000.0,52,52
109707,1557418508,RISE TOGETHER! LIVE!,Music,Music,USD,2015-06-29 00:00:00,2015-04-30 01:50:00,successful,459,US,25046.0,25046.0,20000.0,59,59
109896,1558331685,Keep The Crescent,Theater,Theater,USD,2012-11-17 00:00:00,2012-09-18 22:44:00,successful,848,US,84736.54,84736.54,75598.0,59,59
109952,1558640683,Recipes for the Dead: Issue 2 - An Indie Comic Book by Vera,Comics,Comics,USD,2011-08-27 00:00:00,2011-06-28 21:37:00,successful,543,US,9429.28,9429.28,2000.0,59,59
109988,1558887229,RISE: A DOCUMENTARY ABOUT A MAN AND HIS DREAM ,Documentary,Film & Video,USD,2010-11-05 00:00:00,2010-09-12 06:14:00,successful,110,US,9076.0,9076.0,6500.0,53,53
109992,1558897808,Nurugo SmartUV: The Smartest UV Camera for Your Phone,Gadgets,Technology,USD,2017-03-02 00:00:00,2017-01-05 17:30:00,successful,761,US,3420.0,85044.0,80000.0,55,55
110141,1559629360,WOLVERINE PACK | World's First Self-Healing Utility Bag,Product Design,Design,USD,2017-10-22 00:00:00,2017-08-23 16:00:00,successful,942,US,5973.0,82401.0,10000.0,59,59
110154,1559711644,"Fantasy Gaming Coins LARPing, Cosplay, Board Games, RPG 3.0",Tabletop Games,Games,USD,2015-04-17 00:00:00,2015-02-17 21:01:00,successful,339,US,20026.0,20026.0,20000.0,58,58
110272,1560361311,Footprints: A Monster Murder Mystery,Comics,Comics,USD,2011-06-06 00:00:00,2011-03-07 09:18:00,successful,199,US,8123.0,8123.0,7500.0,90,90
110312,156050273,Coast City Comicon,Events,Comics,USD,2012-06-05 00:00:00,2012-04-06 01:33:00,successful,200,US,10339.69,10339.69,10000.0,59,59
110493,1561384784,Solderdoodle Plus - USB Rechargeable Hot Multi Tool,Fabrication Tools,Technology,USD,2017-04-14 00:00:00,2017-02-13 13:46:00,failed,107,US,4220.0,12213.0,42600.0,59,59
110499,1561431114,The Forgotten Occupation,Documentary,Film & Video,USD,2015-07-31 00:00:00,2015-06-01 22:47:00,successful,275,US,25365.0,25365.0,20000.0,59,59
110773,1562758962,Coriolis â€“ MÃ¶rkret mellan stjÃ¤rnorna,Tabletop Games,Games,SEK,2015-07-28 00:00:00,2015-06-05 10:13:00,successful,481,SE,52599.11,50789.88,5795.15,52,52
110785,1562863518,Kickstart Boulder Outdoor Cinema! (We're Goin' Mobile!),Film & Video,Film & Video,USD,2013-03-15 00:00:00,2013-01-16 23:28:00,failed,207,US,7782.0,7782.0,20000.0,57,57
110806,1562968641,Forged of Blood,Video Games,Games,SGD,2017-05-05 00:00:00,2017-03-06 09:15:00,failed,747,SG,1527.95,16784.8,106746.37,59,59
110853,1563281593,I'LL PAINT YOU. Make traveling your face! Join the crowd.,Painting,Art,CAD,2014-09-20 00:00:00,2014-07-25 19:35:00,failed,128,CA,2919.6,2821.27,8099.35,56,56
110941,1563739325,RAHT RACER - World's First Highway Speed Bike (Canceled),Technology,Technology,USD,2015-04-24 00:00:00,2015-02-23 17:09:00,canceled,191,US,29960.0,29960.0,75000.0,59,59
110963,1563802752,"""The Squad"", Directed by Robyn Griggs",Shorts,Film & Video,USD,2010-05-30 00:00:00,2010-03-09 15:58:00,successful,218,US,15429.5,15429.5,6500.0,81,81
111036,1564198447,Custom Machined Titanium Copper Pens and mechanical Pencil,Product Design,Design,USD,2016-05-10 00:00:00,2016-03-13 02:08:00,successful,244,US,19893.0,19893.0,2000.0,57,57
111239,1565211368,iHeadCase: Cases with Concealed Headphone Storage Systems,Product Design,Design,USD,2012-02-17 00:00:00,2011-12-19 18:39:00,successful,336,US,33456.31,33456.31,30000.0,59,59
111324,1565656327,"Tennessee Williams' tale of Christmas, THE MUTILATED",Theater,Theater,USD,2013-07-14 00:00:00,2013-05-21 03:49:00,successful,229,US,36745.0,36745.0,35000.0,53,53
111417,156620263,Mariachis Transform Tucson â€“ a documentary,Film & Video,Film & Video,USD,2013-06-22 00:00:00,2013-04-23 04:26:00,successful,109,US,15201.0,15201.0,15000.0,59,59
111450,156637362,Mary Mouse Designs - A Tiny Dancer & Her Mighty Dream....,Illustration,Art,GBP,2014-09-01 00:00:00,2014-07-03 11:32:00,successful,101,GB,5517.11,5242.4,4888.78,59,59
111733,156763974,"Arrivals and Departures, a major poetry/film projection",Public Art,Art,USD,2014-01-15 00:00:00,2013-11-18 19:10:00,successful,237,US,21420.0,21420.0,20000.0,57,57
111825,1568049361,Reopening of La Boulangerie Bakery in Logan Square Chicago,Food,Food,USD,2014-04-05 00:00:00,2014-02-04 21:53:00,failed,130,US,8451.0,8451.0,80000.0,59,59
111866,1568245661,We gonna make a Warren Barfield record together,Music,Music,USD,2011-06-07 00:00:00,2011-04-05 08:34:00,successful,195,US,24546.0,24546.0,15000.0,62,62
111883,156833756,Re-inventing the Scarf,Accessories,Fashion,EUR,2016-02-05 00:00:00,2015-12-07 16:42:00,successful,114,DE,12354.16,12718.48,11201.97,59,59
111988,1568916628,LA BANDA QUE MEZCLA TODO / THE BAND THAT MIXES EVERYTHING,World Music,Music,USD,2015-08-19 00:00:00,2015-06-20 03:58:00,failed,167,US,7956.0,7956.0,20000.0,59,59
112033,1569137132,HYPNOS : THE WORLD'S BEST SLEEP HOODIE,Product Design,Design,USD,2016-01-11 00:00:00,2015-11-13 19:14:00,successful,3044,US,322915.0,322915.0,30000.0,58,58
112043,1569194192,Forgotten F-105 Warriors of Operation Rolling Thunder,Documentary,Film & Video,USD,2013-02-19 00:00:00,2012-12-21 14:05:00,failed,192,US,35177.0,35177.0,293000.0,59,59
112076,1569348999,GoLeaks,Web,Journalism,EUR,2016-02-16 00:00:00,2015-12-18 11:07:00,successful,133,FR,6987.82,7151.34,5991.81,59,59
112172,1569850201,TWO RIVERS: A DOCUMENTARY FILM,Documentary,Film & Video,USD,2013-10-11 00:00:00,2013-08-12 18:04:00,successful,129,US,20520.0,20520.0,20000.0,59,59
112551,1571701368,MOTHER'S RED DRESS (a social issue feature film),Film & Video,Film & Video,USD,2011-06-18 00:00:00,2011-04-19 21:02:00,successful,205,US,20678.99,20678.99,20000.0,59,59
112601,1571949865,GAYBY - The Feature Film!,Narrative Film,Film & Video,USD,2011-09-11 00:00:00,2011-07-18 22:34:00,successful,134,US,16209.0,16209.0,15000.0,54,54
112703,1572488702,LUNCH LOVE COMMUNITY ,Documentary,Film & Video,USD,2010-06-07 00:00:00,2010-03-09 20:15:00,successful,107,US,9400.0,9400.0,9000.0,89,89
112709,1572509377,TwoSense - Mission to Commission!,Classical Music,Music,USD,2011-08-23 00:00:00,2011-06-24 18:09:00,successful,146,US,9650.0,9650.0,6500.0,59,59
113120,1574752831,We Are Monsters,Narrative Film,Film & Video,GBP,2013-02-15 00:00:00,2012-12-17 13:01:00,failed,188,GB,57244.26,54833.3,154870.68,59,59
113196,1575109422,TRÃ„DGÃ…RDSSTADENS FÃ„RGER,Art Books,Publishing,SEK,2017-01-15 00:00:00,2016-11-18 11:08:00,successful,114,SE,0.0,5348.24,3354.88,57,57
113210,1575165604,Walkabout Woods - Burning Man 2011 Art Installation,Sculpture,Art,USD,2011-06-01 00:00:00,2011-03-17 05:30:00,successful,164,US,8089.83,8089.83,8000.0,75,75
113219,1575186991,Tobacco Motorwear: U.S. Made Kevlar Lined Jeans,Apparel,Fashion,USD,2015-01-11 00:00:00,2014-11-12 21:55:00,successful,501,US,121789.0,121789.0,20000.0,59,59
113435,1576311854,SBDNY 2017 NYC Season (Featuring Sweden's New Tide Orquesta),Performances,Dance,USD,2017-04-20 00:00:00,2017-02-19 07:36:00,successful,102,US,73.0,13277.0,12000.0,59,59
113461,1576445303,"""THE CROSS"" SHORT FILM",Shorts,Film & Video,USD,2011-06-24 00:00:00,2011-04-25 20:59:00,successful,110,US,8476.0,8476.0,8000.0,59,59
113462,1576446818,Kate's Crusade - The Cancer Fighting Video Game,Video Games,Games,USD,2017-05-01 00:00:00,2017-03-02 01:42:00,failed,176,US,1045.0,20333.0,244000.0,59,59
113497,1576616471,WWJD (Feature Film),Narrative Film,Film & Video,USD,2011-07-17 00:00:00,2011-05-18 07:23:00,successful,128,US,5461.0,5461.0,5000.0,59,59
113678,1577461720,Selva de Mar -- New Album,World Music,Music,USD,2013-03-23 00:00:00,2013-01-22 23:40:00,successful,133,US,5200.01,5200.01,5000.0,59,59
113775,1577913151,Yes Dear's debut studio album!,Country & Folk,Music,USD,2013-04-19 00:00:00,2013-02-18 04:58:00,successful,101,US,6095.0,6095.0,5000.0,59,59
113913,1578567890,Foo For The Fans - No More Touts (Canceled),Rock,Music,GBP,2014-11-18 00:00:00,2014-09-19 20:32:00,canceled,1335,GB,244474.16,235619.33,235235.08,59,59
114002,1579018490,Rise Up Bakery,Food,Food,USD,2015-05-18 00:00:00,2015-03-23 17:06:00,successful,228,US,25255.0,25255.0,25000.0,55,55
114065,1579380460,Martin Luther Handwriting Font - Here I Write,Typography,Design,EUR,2017-12-27 00:00:00,2017-10-28 17:06:00,successful,491,DE,3984.03,25794.54,23985.99,59,59
114315,1580619662,Bala Bangles: The world's first yoga weight.,Product Design,Design,USD,2017-06-10 00:00:00,2017-04-11 16:15:00,successful,381,US,3425.0,50448.0,40000.0,59,59
114457,1581315818,Integrated Space Plan - Envisioning Humanity's Future,Publishing,Publishing,USD,2014-07-28 00:00:00,2014-06-06 14:00:00,successful,434,US,32583.0,32583.0,18000.0,51,51
114632,1582173508,"VIA Records: Anna Clyne, Paola Prestini, Jeffrey Zeigler",Classical Music,Music,USD,2013-03-22 00:00:00,2013-01-21 19:42:00,successful,244,US,34425.0,34425.0,32500.0,59,59
114852,1583349186,IV4K: New Record,Rock,Music,USD,2014-07-21 00:00:00,2014-05-30 15:19:00,successful,105,US,4058.0,4058.0,2000.0,51,51
115216,1585101396,Cody Purvis Album Recording,Country & Folk,Music,USD,2012-01-10 00:00:00,2011-11-11 01:12:00,successful,166,US,15362.0,15362.0,15000.0,59,59
115324,1585595644,"Re-launch of Throw Like A Girl, a feature-length documentary",Documentary,Film & Video,USD,2011-06-03 00:00:00,2011-03-23 18:54:00,successful,109,US,14235.0,14235.0,12650.0,71,71
115325,1585604250,"Moxy & Zen - Comfortable, Breathable, Super Fun Underwear",Apparel,Fashion,CAD,2018-02-06 00:00:00,2017-12-08 17:51:00,canceled,222,CA,1502.55,6073.17,23963.58,59,59
115378,1585895803,The 'M.E. On Love' Album Project,R&B,Music,USD,2011-12-13 00:00:00,2011-10-14 19:25:00,successful,120,US,8725.0,8725.0,6000.0,59,59
115408,1586010519,Portable Fortitude: 54 Talismans; Reprint of unique deck,Art,Art,USD,2011-05-03 00:00:00,2011-03-08 06:41:00,successful,177,US,6983.18,6983.18,2300.0,55,55
115539,1586648323,"Getting OXBOW the band on film: DVD, video, eternity",Film & Video,Film & Video,USD,2011-12-16 00:00:00,2011-10-17 18:22:00,successful,103,US,4541.0,4541.0,4137.77,59,59
115545,1586662315,Cal Arts Graduating Actors Showcase goes to New York City!,Theater,Theater,USD,2011-03-26 00:00:00,2011-01-25 04:28:00,successful,121,US,7775.5,7775.5,7750.0,59,59
115559,1586744016,Project Ubuntu,Documentary,Film & Video,USD,2012-02-13 00:00:00,2011-12-15 19:15:00,successful,177,US,10905.0,10905.0,10000.0,59,59
115605,1586978097,Nice Cream Chicago,Food,Food,USD,2011-10-10 00:00:00,2011-08-11 06:46:00,successful,237,US,7626.92,7626.92,5000.0,59,59
115776,1587861887,Darshan: Photographic Series on Indian Deities,Photography,Photography,USD,2011-08-28 00:00:00,2011-06-29 06:07:00,successful,405,US,26602.0,26602.0,20000.0,59,59
115830,1588096545,DUENDE: SUIT OF LIGHTS - A Feature Film,Film & Video,Film & Video,USD,2012-03-25 00:00:00,2012-01-25 13:06:00,failed,104,US,10547.69,10547.69,50000.0,59,59
115860,1588271820,Latchis Theatre: Ready to Restore Historic Ceiling,Theater,Theater,USD,2013-09-06 00:00:00,2013-07-08 17:43:00,failed,142,US,16092.0,16092.0,50000.0,59,59
116289,1590664153,Elkbar,Children's Books,Publishing,USD,2012-03-03 00:00:00,2012-01-03 23:01:00,successful,136,US,6181.0,6181.0,6000.0,59,59
116306,1590771134,Air Strap: A Camera Strap That Does More With Less,Product Design,Design,USD,2014-01-10 00:00:00,2013-11-14 07:13:00,successful,2396,US,132023.5,132023.5,15000.0,56,56
116423,1591365383,Tsume x Aleksi Briclot: Azzar'Hi Worlds & Wonders HQS statue,Sculpture,Art,EUR,2015-06-26 00:00:00,2015-04-27 16:44:00,successful,155,NL,55462.95,57139.02,56009.86,59,59
116894,1593810269,Project: Hope Through Music aka REFINED-New Don Amero Album,Country & Folk,Music,CAD,2015-01-16 00:00:00,2014-11-25 20:59:00,successful,104,CA,18602.48,17356.88,16618.2,51,51
116963,1594143417,Chris Higbee's New Studio Album!,Music,Music,USD,2014-08-23 00:00:00,2014-06-24 22:29:00,successful,260,US,56990.0,56990.0,45000.0,59,59
116973,1594182158,Secret Science Club: Season Five,Nonfiction,Publishing,USD,2011-09-27 00:00:00,2011-07-29 17:15:00,successful,205,US,11020.0,11020.0,9975.0,59,59
117083,1594684406,A Lot Like Birds Needs a Van to Come to Your City!,Music,Music,USD,2011-10-08 00:00:00,2011-08-09 22:27:00,successful,124,US,4822.7,4822.7,4000.0,59,59
117236,1595434075,"""AziendA"" -- Feature Film",Narrative Film,Film & Video,USD,2011-02-27 00:00:00,2011-01-02 05:35:00,successful,125,US,10134.0,10134.0,9800.0,55,55
117434,1596542540,Composer/Pianist Alejandro Santoyo: Soothing Album Release,Music,Music,USD,2013-06-10 00:00:00,2013-04-11 19:50:00,successful,103,US,25040.0,25040.0,20000.0,59,59
117445,1596604085,"Bring Back Dante's Cove - Season 4, The Next Generation",Romance,Film & Video,USD,2016-12-31 00:00:00,2016-11-01 14:22:00,failed,174,US,0.0,6876.0,50000.0,59,59
117501,1596895160,Viet Nom Nom: Bringing Fresh Noms to Chicagoland!,Restaurants,Food,USD,2017-07-14 00:00:00,2017-05-15 07:08:00,successful,179,US,0.0,20275.0,20000.0,59,59
117518,1597014315,Premium iPhone Case : Lucidream eXo-Skeleton - iPhone 6 & 6+,Product Design,Design,CAD,2015-03-31 00:00:00,2015-01-30 14:21:00,successful,243,CA,34587.81,34218.6,15817.78,59,59
117562,1597242967,Impression ?: Wireless VR+AR with Gesture+Position Tracking,Hardware,Technology,USD,2015-05-07 00:00:00,2015-03-13 04:07:00,successful,508,US,301719.59,301719.59,78000.0,54,54
117634,1597639357,ECE 202 / 203 - Electric Circuits & Systems II with Lab,Technology,Technology,USD,2014-08-15 00:00:00,2014-06-16 22:51:00,successful,454,US,15153.0,15153.0,10800.0,59,59
117679,1597870404,Cards Against Humanity,Tabletop Games,Games,USD,2011-01-30 00:00:00,2010-12-01 07:56:00,successful,758,US,15570.87,15570.87,4000.0,59,59
117964,1599425483,Kolsimcha and London Symphony Orchestra New CD,Music,Music,GBP,2013-04-08 00:00:00,2013-02-07 19:48:00,successful,180,GB,89526.83,87822.0,86020.18,59,59
118315,1601172071,PANDA: Eco-friendly Handmade Bamboo Sunglasses,Design,Design,USD,2012-01-01 00:00:00,2011-11-02 04:46:00,successful,275,US,19485.0,19485.0,3000.0,59,59
118357,1601337675,Horto domi: the Open Garden,Hardware,Technology,USD,2012-05-10 00:00:00,2012-03-11 03:32:00,successful,263,US,11510.0,11510.0,10000.0,59,59
118383,1601468644,HEART First World's1st Experiential Wellness eBook (Cancer),Publishing,Publishing,USD,2016-06-29 00:00:00,2016-04-30 20:12:00,failed,122,US,37617.22,37617.22,77000.0,59,59
118459,1601827317,Pedal Power -- Human Scale Energy For Everyday Tasks,Hardware,Technology,USD,2013-12-30 00:00:00,2013-10-31 06:02:00,successful,429,US,30047.64,30047.64,10000.0,59,59
118561,1602391382,RIVEN - Pilot Episode - Action/Drama Series,Narrative Film,Film & Video,USD,2011-09-03 00:00:00,2011-07-05 23:17:00,failed,354,US,30733.0,30733.0,48000.0,59,59
118751,1603286530,Space Pioneer,Video Games,Games,USD,2014-03-11 00:00:00,2014-01-10 09:05:00,failed,797,US,38016.0,38016.0,150000.0,59,59
118883,160394496,SHAKTI: The Power of Woman,Documentary,Film & Video,USD,2012-03-13 00:00:00,2012-01-13 16:27:00,successful,126,US,18361.89,18361.89,15000.0,59,59
118965,1604366445,Release & Promote Anna Carow's Debut Album City Songs,Country & Folk,Music,USD,2012-08-09 00:00:00,2012-06-10 09:39:00,successful,140,US,8220.0,8220.0,7000.0,59,59
118981,1604463827,Jazz Graphic Novel,Comics,Comics,USD,2011-07-16 00:00:00,2011-05-17 15:08:00,successful,173,US,8285.23,8285.23,8000.0,59,59
119022,1604649980,"Help Polyvinyl Save 10,000 Records From Destruction",Indie Rock,Music,USD,2009-07-14 00:00:00,2009-05-22 20:21:00,successful,389,US,15625.5,15625.5,1000.0,52,52
119068,1604848843,"Soundlazer ""Snap"" - The Directional Parametric Speaker",Technology,Technology,USD,2014-12-19 00:00:00,2014-10-20 18:19:00,successful,458,US,73753.0,73753.0,25000.0,59,59
119094,1604987029,Haunts: The Manse Macabre,Video Games,Games,USD,2012-07-06 00:00:00,2012-05-07 12:41:00,successful,1214,US,28739.17,28739.17,25000.0,59,59
119135,1605261206,The Videogame History Museum,Video Games,Games,USD,2011-09-01 00:00:00,2011-07-03 19:31:00,successful,356,US,50266.1,50266.1,30000.0,59,59
119336,1606291522,BrewJacket Immersion - Lager Beer Without a Refrigerator,Hardware,Technology,USD,2014-06-09 00:00:00,2014-04-10 13:55:00,successful,379,US,108351.0,108351.0,45000.0,59,59
119369,1606437877,Rapp Brewing Company,Food,Food,USD,2012-05-02 00:00:00,2012-03-03 14:31:00,failed,115,US,15968.0,15968.0,20000.0,59,59
119379,1606517061,kraftwerk - highly innovative portable power plant,Design,Design,USD,2015-03-06 00:00:00,2015-01-05 00:27:00,successful,11660,US,1529561.16,1529561.16,500000.0,59,59
119539,1607214390,"eRING:  The first ever, wirelessly powered Christmas lights",Hardware,Technology,USD,2015-01-18 00:00:00,2014-11-19 19:36:00,canceled,634,US,99818.0,99818.0,50000.0,59,59
119736,1608191714,Project No-Ma :My First Solo Show,Painting,Art,USD,2012-06-23 00:00:00,2012-04-24 03:13:00,successful,106,US,4590.77,4590.77,1300.0,59,59
